entity_legal_name,headquarters_location,date_registered,estimated_employee_band
9Spokes International Limited,Auckland,2015,51-200
A2X Markets Limited,Auckland,2014,1-50
Accesso,Auckland,2000,1-50
Actionstep Group Limited,Auckland,2004,201-800
Addressfinder,Auckland,2006,1-50
AF Drinks,Auckland,2020,1-50
Afirmo,Auckland,2021,1-50
Aider Limited,Auckland,2018,1-50
Aimer,Auckland,2022,1-50
Akahu Limited,Auckland,2017,1-50
Alimetry,Auckland,2019,1-50
Altered State Machine,Auckland,2021,51-200
Ambit AI Limited,Auckland,2017,1-50
Apate.ai,Auckland,2021,1-50
Arcanum,Auckland,2015,1-50
ArchiPro Limited,Auckland,2016,201-800
AskNicely Limited,Auckland,2015,51-200
Astrix Astronautics,Auckland,2021,1-50
Atomic Tessellator,Auckland,2022,1-50
Atomic.io,Auckland,2014,1-50
Auror,Auckland,2015,201-800
Author-it Software Limited,Auckland,1990,51-200
Babbly Limited,Auckland,2020,1-50
Bandsight Limited,Auckland,2017,1-50
Banqer Limited,Auckland,2014,1-50
BlackBull Group Limited,Auckland,2014,201-800
BoardPro,Auckland,2018,1-50
BraveGen,Auckland,2007,1-50
Calcs.com,Auckland,2018,1-50
CarbonClick Limited,Auckland,2019,1-50
CARUSO SOFTWARE LIMITED,Auckland,2018,51-200
Catalist Markets Limited,Auckland,2016,1-50
Centrapay Limited,Auckland,2017,1-50
Ceratec Health Limited,Auckland,2017,1-50
Cin7 Group Limited,Auckland,2012,201-800
Cloud Cannon Limited,Auckland,2014,1-50
Cohabit,Auckland,2020,1-50
Comet Backup,Auckland,2009,1-50
Comply Pro,Auckland,2016,1-50
CONQA,Auckland,2017,1-50
Contended,Auckland,2020,1-50
CORTO,Auckland,2020,1-50
Cotiss,Auckland,2020,1-50
Crimson Education Group Limited,Auckland,2013,201-800
Daisy Lab,Auckland,2021,1-50
Datanest,Auckland,2020,1-50
Datch Limited,Auckland,2017,1-50
Deep Space,Auckland,2019,1-50
DEFEND,Auckland,2015,51-200
Devoli Limited,Auckland,2012,1-50
Dosh,Auckland,2020,1-50
DotGolf,Auckland,1999,1-50
Dotterel Technologies Limited,Auckland,2016,1-50
Double Dot Media Limited,Auckland,2012,1-50
Drive My Car Limited,Auckland,2012,1-50
EcoPortal Limited,Auckland,2015,51-200
Emerge,Auckland,2018,1-50
EROAD,Auckland,2010,201-800
Ethical AI Limited,Auckland,2019,1-50
Extraordinary,Auckland,2021,1-50
ezyVet,Auckland,2006,201-800
Feijoa,Auckland,2021,1-50
Fergus Software Limited,Auckland,2014,51-200
Figured Limited,Auckland,2014,51-200
FileInvite Limited,Auckland,2015,1-50
First AML Limited,Auckland,2019,51-200
FlexiTime Limited,Auckland,2008,1-50
Flicket,Auckland,2018,1-50
Flik,Auckland,2017,1-50
Flowing Bee,Auckland,2023,1-50
Flowingly,Auckland,2016,1-50
Formus Labs,Auckland,2016,1-50
Fuel50 Limited,Auckland,2011,51-200
Generate Zero Limited,Auckland,2022,1-50
Gentrack Group Limited,Auckland,1989,201-800
GoGenorosity,Auckland,2019,1-50
Grizzly AI,Auckland,2023,1-50
Groov,Auckland,2018,51-200
Haast,Auckland,2021,1-50
Halter Limited,Auckland,2016,201-800
Hapara,Auckland,2011,51-200
Harmoney Corp Limited,Auckland,2014,51-200
Hatch Limited,Auckland,2018,1-50
HeartLab,Auckland,2018,1-50
Hectre Limited,Auckland,2016,1-50
Helius Therapeutics Limited,Auckland,2015,1-50
HelloFresh NZ,Auckland,2018,201-800
Hey Buddy,Auckland,2022,1-50
Homes Group Limited,Auckland,2013,1-50
Huckleberry,Auckland,1995,51-200
Human Health,Auckland,2021,1-50
Ideally Group Limited,Auckland,2023,51-200
Imagr,Auckland,2017,51-200
Impact Data Limited,Auckland,2008,1-50
InfluxData New Zealand Limited,Auckland,2013,201-800
Infotools,Auckland,1990,51-200
InsightWise,Auckland,2020,1-50
Invenco Group Limited,Auckland,2009,201-800
Inviol,Auckland,2020,1-50
Isaacus,Auckland,2022,1-50
Jasper Technologies Limited,Auckland,2021,1-50
JAVLN,Auckland,2011,51-200
Joyous Limited,Auckland,2017,1-50
Kami Limited,Auckland,2013,51-200
Keeyu,Auckland,2021,1-50
Kernel Wealth Limited,Auckland,2019,51-200
KiBi,Auckland,2021,1-50
Kindo,Auckland,2011,1-50
Komodo,Auckland,2018,1-50
Kwetta,Auckland,2021,1-50
Landlord Studio,Auckland,2016,1-50
LandlordStudio Limited,Auckland,2016,1-50
Launch Agent,Auckland,2022,1-50
Letterboxd,Auckland,2011,1-50
Loaded,Auckland,2012,1-50
Lumin,Auckland,2015,1-50
Lumonus,Auckland,2020,1-50
Lumos,Auckland,2020,1-50
Lyssna,Auckland,2008,1-50
Marmalade Limited,Auckland,2020,1-50
Marsello,Auckland,2014,51-200
Mary Technology,Auckland,2023,1-50
Medow Health,Auckland,2021,1-50
MEGA Privacy Limited,Auckland,2013,201-800
Melodics Limited,Auckland,2014,1-50
Mentemia Limited,Auckland,2018,1-50
Metrovate,Auckland,2022,1-50
Mevo,Auckland,2016,1-50
Mint Innovation Limited,Auckland,2016,51-200
Modica Group Limited,Auckland,2001,51-200
Montoux Limited,Auckland,2011,1-50
Moodi,Auckland,2021,1-50
Mooven Limited,Auckland,2017,1-50
Movio Limited,Auckland,2010,1-50
Mukpuddy Animation Limited,Auckland,2002,1-50
Multitudes Limited,Auckland,2021,1-50
Mushroom Material,Auckland,2020,1-50
My Food Bag Group Limited,Auckland,2012,201-800
MyHR Limited,Auckland,2012,51-200
Mysterious Limited,Auckland,2021,1-50
N4 Studio,Auckland,2022,1-50
Nanophage Technologies Limited,Auckland,2020,1-50
Nardo,Auckland,2022,1-50
Narrative Limited,Auckland,2017,51-200
Naut Limited,Auckland,2020,1-50
Neocrete,Auckland,2018,1-50
Nevam,Auckland,2021,1-50
New Dialogue,Auckland,2021,1-50
NextWork,Auckland,2023,1-50
Nilo,Auckland,2021,1-50
Ninja Kiwi Limited,Auckland,2006,51-200
noissue,Auckland,2017,51-200
